name,description,learning_targets,pre_qualifications,lecture_id,combined
Learning Analytics,learning analytics la attracted great deal attention practitioner institution researcher increasingly seeing potential la shape future technology enhanced learning landscape la emerging data science field represents application big data analytics education deal development method harness educational data set support learning process la interdisciplinary field involving competence computer science cognitive psychology pedagogy leverage various computer science method include statistic big data machine learning datatext mining information visualization visual analytics recommender system first part course provide systematic overview emerging field key concept reference model la based four dimension namely data environment context stakeholder objective method second part course discus various method technique required develop innovative la system relation dimension la reference model last part course current topic trend la research presented dicussed invited taks presented method technology investigated applied small student project carried throughout course,successfully completing module student knowledge explain theoretical technical foundation learning analytics systematically describe development process learning analytics system discus requirement parameter use different learning analytics method identify current trend research question learning analytics skill select adequate tool implementation learning analytics system apply practice ass achieved result effectively plan implement small learning analytics project competency based knowledge skill acquired module student propose creative solution learning analytics discus pro con different learning analytics technology design implement innovative learning analytics system interdisciplinary team take responsibility project development team,,2,learning analytics la attracted great deal attention practitioner institution researcher increasingly seeing potential la shape future technology enhanced learning landscape la emerging data science field represents application big data analytics education deal development method harness educational data set support learning process la interdisciplinary field involving competence computer science cognitive psychology pedagogy leverage various computer science method include statistic big data machine learning datatext mining information visualization visual analytics recommender system first part course provide systematic overview emerging field key concept reference model la based four dimension namely data environment context stakeholder objective method second part course discus various method technique required develop innovative la system relation dimension la reference model last part course current topic trend la research presented dicussed invited taks presented method technology investigated applied small student project carried throughout course successfully completing module student knowledge explain theoretical technical foundation learning analytics systematically describe development process learning analytics system discus requirement parameter use different learning analytics method identify current trend research question learning analytics skill select adequate tool implementation learning analytics system apply practice ass achieved result effectively plan implement small learning analytics project competency based knowledge skill acquired module student propose creative solution learning analytics discus pro con different learning analytics technology design implement innovative learning analytics system interdisciplinary team take responsibility project development team 
"Cloud, Web & Mobile",lecture present theoretical practical aspect cloud computing lecture divided two part first part lecture introduces algorithm architecture programming model cloud computing cloud based application point view cloud provider point view cloud application developer considered second part lecture front end technology usage combination cloud application presented includes web technology mobile operating system including android window phone 7 concept presented lecture used exercise,student know understand architecture algorithm enable datacenter operator run highly scalable reliable application computer cluster able develop application run corresponding platform student know common payment pricing model cloud computing well model suit application gained knowledge front end technology enable usage cloud application end user eg web technology mobile application,,3,lecture present theoretical practical aspect cloud computing lecture divided two part first part lecture introduces algorithm architecture programming model cloud computing cloud based application point view cloud provider point view cloud application developer considered second part lecture front end technology usage combination cloud application presented includes web technology mobile operating system including android window phone 7 concept presented lecture used exercise student know understand architecture algorithm enable datacenter operator run highly scalable reliable application computer cluster able develop application run corresponding platform student know common payment pricing model cloud computing well model suit application gained knowledge front end technology enable usage cloud application end user eg web technology mobile application 
Distributed Systems,lecture present important concept protocol distributed system lecture start principle distributed communication data serialization asn1 corba xdr soap remote procedure call distributed object sencond part lecture present important often used distributed algorithm physical clock logical clock transaction synchronisation replication consistency global state,student know principle protocol algorithm architecture distributed system able apply real word problem,,4,lecture present important concept protocol distributed system lecture start principle distributed communication data serialization asn1 corba xdr soap remote procedure call distributed object sencond part lecture present important often used distributed algorithm physical clock logical clock transaction synchronisation replication consistency global state student know principle protocol algorithm architecture distributed system able apply real word problem 
Natural-Language-based Human-Computer Interaction,content detail level language analysis linguistic interaction problem representation computer speech recognition speech generation system linguistic interaction man machine application natural language human computer interaction also intended hold event regularly english,student learn problem occur natural language human computer interaction solved using method language technology,,5,content detail level language analysis linguistic interaction problem representation computer speech recognition speech generation system linguistic interaction man machine application natural language human computer interaction also intended hold event regularly english student learn problem occur natural language human computer interaction solved using method language technology 
Advanced Web Technologies,world wide web underlying technology increasingly gaining importance development interactive web application course introduces concept principle method current client server side web technology basic web technology html http cs xml javascript etc prerequisite take course focus course rather advanced topic emerging web technology include extension web standard combination different web technology web toolkits development environment well web library framework course follows student centered project based learning approach web technology proposed presented lecture student group presented technology investigated applied hand session well small student project carried throughout course,successfully completing module student knowledge explain compare concept current web technology explain current web technology combination web application describe problem possible solution using current web technology self selected example web project skill analyze requirement web project reasonably choose appropriate web technology use combine different current web technology create innovative web application harness existing knowledge experience learn new web technology competency based knowledge skill acquired module student present discus current web technology scientifically use current web technology efficiently effectively web project develop creative solution web project act responsibly reliably project development team,basic knowledge web technology requiered,6,world wide web underlying technology increasingly gaining importance development interactive web application course introduces concept principle method current client server side web technology basic web technology html http cs xml javascript etc prerequisite take course focus course rather advanced topic emerging web technology include extension web standard combination different web technology web toolkits development environment well web library framework course follows student centered project based learning approach web technology proposed presented lecture student group presented technology investigated applied hand session well small student project carried throughout course successfully completing module student knowledge explain compare concept current web technology explain current web technology combination web application describe problem possible solution using current web technology self selected example web project skill analyze requirement web project reasonably choose appropriate web technology use combine different current web technology create innovative web application harness existing knowledge experience learn new web technology competency based knowledge skill acquired module student present discus current web technology scientifically use current web technology efficiently effectively web project develop creative solution web project act responsibly reliably project development team basic knowledge web technology requiered
Peer-to-Peer Systems,lecture cover history structure protocol peer peer based system important p2p system discussed detail example napster gnutella cord pastry additionally lecture discus application scenario peer peer based system difference classical clientserver approach e special focus following application domain filesharing database naming service geographical data,student understand p2p system work ie structured node join leave network data stored retrieved p2p network furthermore student know scenario p2p system improve upon clientserver system expect limitation p2p approach,,7,lecture cover history structure protocol peer peer based system important p2p system discussed detail example napster gnutella cord pastry additionally lecture discus application scenario peer peer based system difference classical clientserver approach e special focus following application domain filesharing database naming service geographical data student understand p2p system work ie structured node join leave network data stored retrieved p2p network furthermore student know scenario p2p system improve upon clientserver system expect limitation p2p approach 
Grundlagen der Sozialpsychologie,,,,8,  
Grundlagen der Medienpsychologie,,,,9,  
Formal Specification of Software Systems,empirical study show software project often fail unclear requirement software system therefore precisely specified implementation begin since natural language imprecise detailed specification formal specification language used using language enables developer analyze property software system implemented course student learn specification language z content detail motivation formal specification different type formal specification language data v behavior oriented abgebraic v model based notation set predicate z methodology object z type checker z,able state state advantage disadvantage formal specification able name various type formal specification language explain difference able read interpret formal specification z object z able develop formal specification z object z able explain notion refinement able perform refinement proof able use typcheckers,,10,empirical study show software project often fail unclear requirement software system therefore precisely specified implementation begin since natural language imprecise detailed specification formal specification language used using language enables developer analyze property software system implemented course student learn specification language z content detail motivation formal specification different type formal specification language data v behavior oriented abgebraic v model based notation set predicate z methodology object z type checker z able state state advantage disadvantage formal specification able name various type formal specification language explain difference able read interpret formal specification z object z able develop formal specification z object z able explain notion refinement able perform refinement proof able use typcheckers 
Electronic Communities and Social Networks,supported technical system like email system discussion forum common work area education made possible virtual community network community common interest build virtual enterprise develop common software project open source principle due inherent spatial andor temporal distribution involved arise special requirement increasing perception cooperation partner andor concerning provided divided artifact document content detail modeling electronic community analysis visualization social network topic structure generation proposal membersartifacts due interest profile mechanism condition education electronic community evolution trend recognition electronic community,lecture student position understand method modeling electronic community evaluate application typeborders regarding usual procedure know understand method generation proposal understand analyze condition development change electronic community procedure analysis visualization social network understanding topic structure able use develop qualification,,11,supported technical system like email system discussion forum common work area education made possible virtual community network community common interest build virtual enterprise develop common software project open source principle due inherent spatial andor temporal distribution involved arise special requirement increasing perception cooperation partner andor concerning provided divided artifact document content detail modeling electronic community analysis visualization social network topic structure generation proposal membersartifacts due interest profile mechanism condition education electronic community evolution trend recognition electronic community lecture student position understand method modeling electronic community evaluate application typeborders regarding usual procedure know understand method generation proposal understand analyze condition development change electronic community procedure analysis visualization social network understanding topic structure able use develop qualification 
